id,name,categories,price,weight
59887734-f3f5-426b-acc9-cf43498c14dc,"Eureka Back to School Red and White Dr. Seuss Striped Paper Letters, 130pc, 1.31'' x 1.75''",Toys & Games | Arts & Crafts | Stickers,4.99,0.8
4dd8addf-77d2-4294-82cd-d0cb5a6c3e89,The Three Billy Goats Gruff Puppets,Toys & Games | Puppets & Puppet Theaters | Hand Puppets,44.87,
5e855076-916f-4c10-9b03-d4812c07ecf8,BRICTEK Crane with Truck Building Kit,Toys & Games | Building Toys | Building Sets,11.08,1.4
8f314519-2d5c-4390-996d-cc7864417e49,Step2 Grand Walk-in Kitchen,Toys & Games | Dress Up & Pretend Play | Pretend Play | Kitchen Toys,264.99,59.0
c574c748-8afd-483b-b375-28390a03628a,"DREAMWORKS TROLLS World Tour Poppy, Collectible Doll with Ukulele Accessory, Toy Figure Inspired by The Movie Trolls World Tour",Toys & Games | Toy Figures & Playsets | Action Figures,28428.03,6.4
d23aa29f-e2fd-43e8-9bca-54c2af90f358,"Breyer Traditional Series Milo - Foal with Friendship Bracelet | Model Horse Toy | 7.5"" x 7.5"" | 1:9 Scale | Model # 1795",Toys & Games | Dress Up & Pretend Play | Pretend Play,21.13,11.4
1a71aa91-b370-4c38-80dc-36e0304a12ac,"GUND Jolly Santa Stuffed Plush, 7""",Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,12.93,6.4
96de37e1-d362-49f9-85a8-df0ee6d30262,"Rubie's Jurassic World: Fallen Kingdom Child's T-Rex Oversized Costume Jumpsuit, Medium",Toys & Games | Dress Up & Pretend Play | Costumes,37.35,1.0
d24360e4-f99b-45d9-b375-ef7acea65647,"PDP Pixel Pals Ren & Stimpy Stimpy Collectible Lighted Figure, 878-040-NA-STM",,8.25,
e87916d4-5a84-4b44-8ab9-a0f7e6835135,Banzai Battle Blast Adventure Inflatable Water Park,Toys & Games | Sports & Outdoor Play | Pools & Water Toys | Pool Toys | Inflatable Water Slides,593233.05,58.9
65f7ebea-3986-4172-8c08-77320f67c838,Executive Series Models Challenger 350 1/35 Scale H11435 Model Kit,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,194.66,10.0
339df82f-8c6a-4bec-b561-83c2fdf20aa1,Banpresto 39655 My Hero Academia Age of Heroes Shoto Todoroki Figure,,34.99,6.7
8264f65c-1777-4fe0-993d-b0bb7abdd8ea,Black Powder Revolutionary British Infantry Regiment 1:56 Military Wargaming Plastic Model Kit,,22.95,6.4
bdd5c828-b885-4207-9861-247c77ac724d,"Magformers Space Traveler 35 Pieces Rainbow Colors, Educational Magnetic Geometric Shapes Tiles Building STEM Toy Set Ages 3+",Toys & Games | Building Toys,57.04,1.37
0ba68ae2-d4d6-4dfd-865e-77b85ff723bd,Ultimate Guard Arkhive 400+ XenoSkin Black,Toys & Games | Collectible Toys | Collectible Display & Storage | Card Storage & Display | Cases,54.03,14.4
f06e7b26-7288-496c-80e8-21e15d9531ab,Wildkin 33417 Olive Kids Fairy Princess Lunch Box,Home & Kitchen | Kitchen & Dining | Storage & Organization | Travel & To-Go Food Containers | Lunch Boxes,13.41,
